full_text,tweet_id,created_at,screen_name,original_user_id,retweeted_user_ID,collected_at
My cat is older than most kids in highschool rn 😭😭 https://t.co/q1n6vuX5CM,1584410227012558848,2022-10-24 05:03:29+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896887
"Everyone say happy birthday to Lito, he’s 17 today 🥳 https://t.co/JeqXfY8auH",1584386942233284609,2022-10-24 03:30:58+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896899
Went to goodwill to look for stuff for our Halloween costumes and I left with $30 worth of fabric instead,1584375449991249921,2022-10-24 02:45:18+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896909
Also this has ruined my screen time data lmaooo,1584221224074301442,2022-10-23 16:32:27+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896920
Oh and I got 6 sales and one of those was my last wallet that I had on the site 🥰,1584207300000043010,2022-10-23 15:37:08+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896930
@p0kemonruby Twins,1584185138119733250,2022-10-23 14:09:04+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896941
Not me doing an 11 hour tiktok live 😭😭 https://t.co/ahPzqteEMa,1584185024370200577,2022-10-23 14:08:37+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896952
Yeah that’s not creepy at all https://t.co/PyihG6saX8,1584013370000187392,2022-10-23 02:46:31+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896963
https://t.co/szEFm0DxFn,1583806699466391562,2022-10-22 13:05:17+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896973
https://t.co/0MDIxQiwze,1583804934713057280,2022-10-22 12:58:16+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896984
Anyone wanna play any Mario games?,1583731657458098177,2022-10-22 08:07:06+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896994
New kitchen sink faucet ayyoooo,1583721050843467776,2022-10-22 07:24:57+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897005
I’m gonna need y’all to stop taking direct communication as being rude,1583624697945542656,2022-10-22 01:02:04+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897015
@kiwiiturner 🥰🥰🥰,1583481550636605440,2022-10-21 15:33:15+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897026
@lemonbbyx loved watching you on live yesterday! Your energy is so contagious 🥰,1583481532664098817,2022-10-21 15:33:11+00:00,lemonbbyx,1000222650,1.5834813830200033e+18,2022-10-24 12:32:58.897036
I seem to have lost my water bottle and I’m so confused,1583455450237792256,2022-10-21 13:49:33+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897046
Okay I finished watching them now what lmao https://t.co/DVc4Q7it7K,1583450828467105793,2022-10-21 13:31:11+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897057
Dress-up your avatar for the Halloween season for a chance to win a custom Disney Dreamlight Valley @Xbox Console &amp; Controller bundle! Enter our Halloween Dress-up Promotion to win HERE: https://t.co/RijnKyIkhZ https://t.co/3dE7gYfsJ9,1583443201075032064,2022-10-21 13:00:52+00:00,lemonbbyx,1000222650,1.5834429818555023e+18,2022-10-24 12:32:58.897066
The way Jacob just undresses in front of Charlie,1583424799308541952,2022-10-21 11:47:45+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897076
YOU NICKNAMED MY DAUGHTER AFTER THE LOCHNESS MONSTER?!,1583422425634549760,2022-10-21 11:38:19+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897086
"YOU IMPRINTED ON MY DAUGHTER?

SHES A BABY",1583422106204708864,2022-10-21 11:37:03+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897097
Girl what the fuck https://t.co/WbPWqwaGQp,1583416432607363072,2022-10-21 11:14:30+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897108
Fuck that CGI baby,1583416334913708032,2022-10-21 11:14:07+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897119
AND IM SKIPPING THE BIRTH SCENE BECAUSE YIKKKEEESSSSSS,1583414658454540289,2022-10-21 11:07:27+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897130
"Well, I’m on Breaking Dawn but you get the idea",1583413300615737345,2022-10-21 11:02:03+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897140
I got excited that it was 4am bc that means Gabe is off work in only 3 more hours but then I remembered he’s not coming home this morning and now I’m sad,1583413078351192064,2022-10-21 11:01:10+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897151
I literally watching Twilight rn lmao I love this for me https://t.co/q7dNtC7ia1,1583407969412055040,2022-10-21 10:40:52+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897162
"Lazy = I don’t want to do the thing.

ADHD = I desperately WANT to do the thing, but I just can’t seem to START doing the thing.",1583396641255477250,2022-10-21 09:55:52+00:00,lemonbbyx,1000222650,1.582845647639937e+18,2022-10-24 12:32:58.897171
"“Well, everyone can have an opinion”
“Yes, but I don’t have to listen to it”",1583364437573967872,2022-10-21 07:47:54+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897182
Just like fat is not synonymous with ugly. Don’t comment on my weight and also ‘insult’ yourself in the same sentence and then try to pass it off as a compliment. It’s fucking ridiculous.,1583361681299673088,2022-10-21 07:36:56+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897192
"All they had to say was “I didn’t mean skinny as an insult though, I mean you look good” 

SKINNY IS NOT THE SAME THING AS ATTRACTIVE/PRETTY",1583361679001124864,2022-10-21 07:36:56+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897203
"I went into this whole speech about how that’s just such a shitty thing to say to someone, and it’s like a backhanded compliment to yourself. I then proceeded to say that if you want to be as skinny as me then you also get all the health problems that cause me to be this skinny",1583361677067550720,2022-10-21 07:36:55+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897214
I had someone come into my tiktok live (of me sewing) and say “omg I wish I was as skinny as you” and I literally responded with “wow what a weird thing to say”,1583361674739752961,2022-10-21 07:36:55+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.897224
I do a lot of illegal shit but I draw the line at littering,1583359790184423424,2022-10-21 07:29:26+00:00,lemonbbyx,1000222650,1.5825869666880184e+18,2022-10-24 12:32:58.897233
